DateKey,FullDate,DayName,DayNumber,MonthName,MonthNumber,QuarterNumber,Year
20050619,6/19/2005,Sunday,1,June,6,2,2005
20050620,6/20/2005,Monday,2,June,6,2,2005
20050621,6/21/2005,Tuesday,3,June,6,2,2005
20050622,6/22/2005,Wednesday,4,June,6,2,2005
20050623,6/23/2005,Thursday,5,June,6,2,2005
20050624,6/24/2005,Friday,6,June,6,2,2005
20050625,6/25/2005,Saturday,7,June,6,2,2005
20050626,6/26/2005,Sunday,1,June,6,2,2005
20050627,6/27/2005,Monday,2,June,6,2,2005
20050628,6/28/2005,Tuesday,3,June,6,2,2005
20050629,6/29/2005,Wednesday,4,June,6,2,2005
20050630,6/30/2005,Thursday,5,June,6,2,2005
20050701,7/1/2005,Friday,6,July,7,3,2005
20050702,7/2/2005,Saturday,7,July,7,3,2005
20050703,7/3/2005,Sunday,1,July,7,3,2005
20050704,7/4/2005,Monday,2,July,7,3,2005
20050705,7/5/2005,Tuesday,3,July,7,3,2005
20050706,7/6/2005,Wednesday,4,July,7,3,2005
20050707,7/7/2005,Thursday,5,July,7,3,2005
20050708,7/8/2005,Friday,6,July,7,3,2005
20050709,7/9/2005,Saturday,7,July,7,3,2005
20050710,7/10/2005,Sunday,1,July,7,3,2005
20050711,7/11/2005,Monday,2,July,7,3,2005
20050712,7/12/2005,Tuesday,3,July,7,3,2005
20050713,7/13/2005,Wednesday,4,July,7,3,2005
20050714,7/14/2005,Thursday,5,July,7,3,2005
20050715,7/15/2005,Friday,6,July,7,3,2005
20050716,7/16/2005,Saturday,7,July,7,3,2005
20050717,7/17/2005,Sunday,1,July,7,3,2005
20050718,7/18/2005,Monday,2,July,7,3,2005
20050719,7/19/2005,Tuesday,3,July,7,3,2005
20050720,7/20/2005,Wednesday,4,July,7,3,2005
20050721,7/21/2005,Thursday,5,July,7,3,2005
20050722,7/22/2005,Friday,6,July,7,3,2005
20050723,7/23/2005,Saturday,7,July,7,3,2005
20050724,7/24/2005,Sunday,1,July,7,3,2005
20050725,7/25/2005,Monday,2,July,7,3,2005
20050726,7/26/2005,Tuesday,3,July,7,3,2005
20050727,7/27/2005,Wednesday,4,July,7,3,2005
20050728,7/28/2005,Thursday,5,July,7,3,2005
20050729,7/29/2005,Friday,6,July,7,3,2005
20050730,7/30/2005,Saturday,7,July,7,3,2005
